Date,SPY,QQQ,IWM,TLT,GLD
2016-03-17,172.51499938964844,99.76837158203125,95.02816772460938,96.10623168945312,120.12999725341797
2016-03-18,173.1929473876953,99.92473602294922,95.8854751586914,96.3077163696289,119.80000305175781
2016-03-21,173.4386444091797,100.31559753417969,95.65798950195312,95.5689926147461,118.95999908447266
2016-03-22,173.345458984375,100.62273406982422,95.54429626464844,95.54657745361328,119.30999755859375
2016-03-23,172.20143127441406,99.79443359375,93.7780532836914,96.62858581542969,116.61000061035156
2016-03-24,172.1251983642578,99.82237243652344,94.05883026123047,96.6658935546875,116.33000183105469
2016-03-28,172.2268829345703,99.6827392578125,94.17292022705078,96.79275512695312,116.5999984741211
2016-03-29,173.8199920654297,101.28350067138672,96.7875747680664,97.8076400756836,118.76000213623047
2016-03-30,174.5826416015625,101.77674102783203,96.79637145996094,96.77784729003906,117.0999984741211
2016-03-31,174.158935546875,101.62781524658203,97.0683822631836,97.46431732177734,117.63999938964844
2016-04-01,175.34532165527344,102.7073974609375,97.498291015625,97.71855163574219,116.93000030517578
2016-04-04,174.77757263183594,102.31652069091797,96.68228149414062,97.77839660644531,116.1500015258789
2016-04-05,173.03192138671875,101.33003234863281,95.58551025390625,98.84769439697266,117.66000366210938
2016-04-06,174.92160034179688,102.99591827392578,96.66474914550781,98.12987518310547,116.94000244140625
2016-04-07,172.82852172851562,101.51615905761719,95.35739135742188,99.34124755859375,118.61000061035156
2016-04-08,173.2946319580078,101.44172668457031,95.73468017578125,98.71309661865234,118.43000030517578
2016-04-11,172.8878173828125,101.06941223144531,95.43634796142578,98.58602142333984,120.02999877929688
2016-04-12,174.49789428710938,101.91635131835938,96.46295928955078,97.905517578125,120.05000305175781
2016-04-13,176.2605743408203,103.2192611694336,98.54241180419922,98.24951934814453,118.7699966430664
2016-04-14,176.26902770996094,103.22856903076172,98.41958618164062,97.77839660644531,117.11000061035156
2016-04-15,176.0740966796875,102.96798706054688,98.6652603149414,98.6159439086914,117.91999816894531
2016-04-18,177.3113250732422,103.5170669555664,99.41104888916016,98.18970489501953,117.73999786376953
2016-04-19,177.87057495117188,102.88420867919922,99.49002075195312,97.88311767578125,119.58000183105469
2016-04-20,178.04010009765625,102.96798706054688,99.63916015625,96.80632781982422,118.97000122070312
2016-04-21,177.08253479003906,102.97730255126953,99.13904571533203,96.23052215576172,119.41999816894531
2016-04-22,177.08253479003906,101.4230728149414,100.12176513671875,95.98377227783203,117.88999938964844
2016-04-25,176.77745056152344,101.4230728149414,99.41104888916016,95.58746337890625,118.2300033569336
2016-04-26,177.0401611328125,100.9298324584961,100.38499450683594,95.15373992919922,118.69999694824219
2016-04-27,177.40452575683594,100.12017059326172,100.7359390258789,96.10340118408203,119.04000091552734
2016-04-28,175.79446411132812,98.91033172607422,99.58655548095703,96.49977111816406,121.29000091552734
2016-04-29,174.84535217285156,98.38915252685547,98.69158172607422,96.74650573730469,123.6500015258789
2016-05-02,176.23507690429688,99.3198013305664,99.56898498535156,95.77239990234375,123.23999786376953
2016-05-03,174.7012939453125,98.39846801757812,97.93701934814453,96.9787826538086,122.95999908447266
2016-05-04,173.72674560546875,97.76559448242188,97.12976837158203,97.51078796386719,122.20999908447266
2016-05-05,173.69284057617188,97.73768615722656,96.74372100830078,98.16259002685547,122.06999969482422
2016-05-06,174.32843017578125,98.25882720947266,97.31405639648438,97.74304962158203,123.18000030517578
2016-05-09,174.47250366210938,98.53804016113281,97.5948257446289,98.05026245117188,120.6500015258789
2016-05-10,176.6417999267578,99.88751220703125,98.57750701904297,98.05773162841797,120.9800033569336
2016-05-11,174.98934936523438,98.98477935791016,97.35789489746094,98.61217498779297,122.12000274658203
2016-05-12,175.0403289794922,98.54737091064453,96.8402328491211,98.16259002685547,121.16000366210938
2016-05-13,173.51490783691406,98.1844253540039,96.19969940185547,99.11420440673828,121.70999908447266
2016-05-16,175.22666931152344,99.4128646850586,97.41934204101562,98.26004791259766,121.80000305175781
2016-05-17,173.5911865234375,98.16577911376953,95.87507629394531,98.42485809326172,122.22000122070312
2016-05-18,173.64202880859375,98.51947021484375,96.37520599365234,97.02375030517578,120.0999984741211
2016-05-19,173.04037475585938,98.007568359375,95.60308074951172,97.4433364868164,119.87000274658203
2016-05-20,174.1335906982422,99.08716583251953,97.2087173461914,97.51824188232422,119.70999908447266
2016-05-23,173.8962860107422,98.95686340332031,97.09469604492188,97.73553466796875,119.37000274658203
2016-05-24,176.15036010742188,100.93914794921875,99.0951919555664,97.30091857910156,117.30000305175781
2016-05-25,177.3451690673828,101.6650619506836,99.67426300048828,96.9338150024414,116.9800033569336
2016-05-26,177.39605712890625,101.9628677368164,99.56021881103516,97.43582916259766,116.58000183105469
2016-05-27,178.15879821777344,102.49336242675781,100.55168914794922,97.29345703125,115.62000274658203
2016-05-31,177.8197479248047,102.68875122070312,100.90264892578125,97.52572631835938,116.05999755859375
2016-06-01,178.18411254882812,102.6980972290039,101.58704376220703,97.92143249511719,115.94000244140625
2016-06-02,178.72645568847656,102.9121322631836,102.3679428100586,98.62718200683594,115.66999816894531
2016-06-03,178.19259643554688,102.42822265625,101.75373840332031,100.03123474121094,118.87999725341797
2016-06-06,179.09933471679688,102.80045318603516,102.85054016113281,99.28790283203125,118.91999816894531
2016-06-07,179.37896728515625,102.53986358642578,103.14885711669922,99.52814483642578,118.81999969482422
2016-06-08,179.96368408203125,102.71671295166016,103.91219329833984,100.06124114990234,120.58000183105469
2016-06-09,179.7179412841797,102.54918670654297,103.24535369873047,100.70692443847656,121.25
2016-06-10,178.01466369628906,101.38587188720703,101.84149169921875,101.1949462890625,121.73999786376953
2016-06-13,176.6417999267578,100.5389633178711,100.7359390258789,101.6454849243164,122.63999938964844
2016-06-14,176.29441833496094,100.5389633178711,100.4464111328125,101.57036590576172,122.7699966430664
2016-06-15,176.0487060546875,100.25048065185547,100.51658630371094,101.9608154296875,123.68000030517578
2016-06-16,176.57406616210938,100.54826354980469,100.50782012939453,102.4563217163086,122.37999725341797
2016-06-17,175.91648864746094,99.3697280883789,100.0779037475586,101.8181381225586,123.94999694824219
2016-06-20,177.04940795898438,99.99491119384766,101.16587829589844,100.72944641113281,123.20999908447266
2016-06-21,177.55197143554688,100.31217956542969,100.97283935546875,100.26395416259766,120.83999633789062
2016-06-22,177.2623291015625,100.06957244873047,100.57803344726562,100.42914581298828,120.9000015258789
2016-06-23,179.5707550048828,101.49726104736328,102.49955749511719,99.2803726196289,120.11000061035156
2016-06-24,173.12252807617188,97.31681060791016,98.60380554199219,101.94581604003906,126.0
2016-06-27,170.02191162109375,95.38522338867188,95.36618041992188,104.4910659790039,126.68000030517578
2016-06-28,173.08843994140625,97.47545623779297,96.8402328491211,104.70880889892578,125.31999969482422
2016-06-29,176.0357666015625,99.20175170898438,99.04251861572266,103.90538787841797,125.83999633789062
2016-06-30,178.43777465820312,100.34950256347656,100.88510131835938,104.2883529663086,126.47000122070312
2016-07-01,178.81263732910156,100.8534164428711,101.24486541748047,105.73637390136719,128.41000366210938
2016-07-05,177.52642822265625,100.2375259399414,99.75325012207031,107.06018829345703,129.47000122070312
2016-07-06,178.5911407470703,101.05868530273438,100.47755432128906,107.23316955566406,130.22999572753906
2016-07-07,178.48040771484375,101.35730743408203,100.6893081665039,107.22567749023438,129.74000549316406
2016-07-08,181.13807678222656,102.92500305175781,103.03604125976562,108.01551818847656,130.52000427246094
2016-07-11,181.77694702148438,103.51284790039062,104.22705078125,107.06773376464844,129.2899932861328
2016-07-12,183.09727478027344,104.03539276123047,105.62100982666016,105.30755615234375,127.1500015258789
2016-07-13,183.0717315673828,103.783447265625,105.20635986328125,106.54864501953125,128.32000732421875
2016-07-14,184.09384155273438,104.4926528930664,105.31221008300781,104.99919128417969,127.33000183105469
2016-07-15,183.84686279296875,104.32464599609375,105.60333251953125,104.09648132324219,126.83999633789062
2016-07-18,184.34092712402344,105.01520538330078,105.77977752685547,103.9987564086914,127.04000091552734
2016-07-19,184.1534881591797,104.63259887695312,105.25047302246094,104.58546447753906,127.20999908447266
2016-07-20,184.92015075683594,105.8550033569336,105.93859100341797,104.01377868652344,125.38999938964844
2016-07-21,184.2216796875,105.61241149902344,105.43570709228516,104.22441101074219,127.30000305175781
2016-07-22,185.04791259765625,106.05095672607422,106.22090148925781,104.40496826171875,126.3499984741211
2016-07-25,184.54534912109375,106.06031036376953,106.06208801269531,104.32970428466797,125.47000122070312
2016-07-26,184.6305389404297,106.18161010742188,106.57379150390625,104.49520874023438,126.0
2016-07-27,184.4346466064453,106.91879272460938,106.873779296875,105.7965087890625,128.02999877929688
2016-07-28,184.64755249023438,107.29204559326172,106.60026550292969,105.60087585449219,127.66000366210938
2016-07-29,184.94564819335938,107.52535247802734,106.81201171875,106.48101043701172,128.97999572753906
2016-08-01,184.7924041748047,108.09455871582031,106.90020751953125,105.32656860351562,129.22000122070312
2016-08-02,183.60836791992188,107.27339935302734,105.40924072265625,104.24136352539062,130.27000427246094
2016-08-03,184.1449737548828,107.62799835205078,106.2649917602539,104.30165100097656,129.64999389648438
2016-08-04,184.34092712402344,107.9358901977539,106.36206817626953,105.08540344238281,129.8699951171875
2016-08-05,185.84860229492188,108.97167205810547,107.89713287353516,103.99270629882812,127.55000305175781
2016-08-08,185.73788452148438,108.85037231445312,107.84424591064453,104.18865966796875,127.44000244140625
2016-08-09,185.84860229492188,109.10230255126953,107.95890808105469,105.21348571777344,127.95999908447266
2016-08-10,185.38861083984375,108.8223648071289,107.18254089355469,105.62030792236328,128.55999755859375
2016-08-11,186.2489776611328,109.28897094726562,107.69422912597656,104.67845916748047,127.66999816894531
2016-08-12,186.0871124267578,109.36360168457031,107.80011749267578,105.56017303466797,127.4000015258789
